"x","y","label"
3.78,1.07,1
-0.24,4.16,1
3.85,1.39,1
4.4,0.87,1
3.55,-1.26,1
-3.69,2.05,1
4.03,-0.53,1
2.73,-3.22,1
3.2,-2.53,1
-3.92,1.9,1
-0.4,4.09,1
-2.26,3.29,1
-3.99,2.51,1
0.01,4.21,1
-3.66,-0.19,1
-3.43,-1.56,1
0.01,-3.87,1
-2.42,2.74,1
2.93,2.58,1
-2.28,-3.56,1
0.82,-3.82,1
-1.98,3.23,1
0.5,-4.12,1
-3.44,1.83,1
3.94,-0.69,1
3.01,2.12,1
2.38,3.31,1
2.01,-3.69,1
-1.83,-3.46,1
3.47,-1.58,1
-3.84,0.36,1
3.29,-2.1,1
0.48,-4,1
2.48,-2.98,1
-3.98,-0.7,1
-2.07,3.45,1
1.35,3.97,1
3.17,2.68,1
4.03,2.43,1
-4.17,-1.54,1
-3.98,1.99,1
-4.19,-1,1
-2.05,3.54,1
2.14,-3.18,1
3.71,1.35,1
-4.2,-1.51,1
3.14,-2.61,1
-0.37,-4,1
0.14,-4.19,1
3.87,1.3,1
-3.84,-1.5,1
2.37,3.03,1
0.34,4.16,1
-4.11,0.62,1
2.76,3.16,1
3.22,1,1
3.82,1.26,1
2.62,2.59,1
-3.79,-1.18,1
-1.53,-4.24,1
3.6,-0.65,1
4.07,-0.01,1
-0.15,4.47,1
3.98,-0.92,1
-2.88,-2.77,1
-3.61,2.28,1
-3.99,0,1
-1.17,3.51,1
-3.71,1.77,1
-3.54,-2.91,1
3.89,-0.46,1
3.8,1.11,1
-1.45,-3.65,1
-4.28,0.46,1
2.7,-2.66,1
4.17,1.01,1
-3.82,1.1,1
4.3,0.09,1
3.32,1.26,1
1.4,3.76,1
3.62,-0.81,1
-3.94,-1.08,1
3.25,-2.66,1
-4.57,-1.28,1
3.85,-0.13,1
0.38,-3.82,1
2.76,-2.61,1
3.72,1.01,1
-3.78,-1.71,1
3,-2.64,1
-1.22,3.54,1
-4.02,-0.45,1
-0.89,3.82,1
2.55,-3.12,1
3.46,-1.86,1
-3.46,1.37,1
2.95,-2.53,1
1.78,-3.81,1
1.91,-3.02,1
-3.71,1.77,1
-1.65,-3.78,1
-0.85,-3.04,1
0.15,-3.76,1
0.72,-4.12,1
3.42,-1.58,1
0.42,4.59,1
1.73,-3.96,1
0.29,-4,1
-2.31,3.08,1
-1.92,3.28,1
-3.66,-0.14,1
2.75,2.92,1
-3.07,-2.98,1
-4.02,-1.98,1
3.31,1.17,1
3.5,-2.23,1
-4.38,0.53,1
-2.34,3.18,1
-2.96,-2.4,1
-1.44,3.29,1
3.62,-0.06,1
4.23,0.54,1
-3.7,-2.08,1
-1.36,-3.81,1
4.07,-0.33,1
-2.79,3.04,1
-3.32,1.92,1
0.23,-3.62,1
0.22,3.89,1
-2.43,-2.78,1
0.68,3.3,1
-3.73,0.24,1
1.85,3.8,1
-3.9,-0.33,1
-3.37,-2.18,1
1.74,-3.43,1
-3.28,1.41,1
-3.67,1.27,1
-0.49,3.85,1
-2.8,-2.86,1
-0.8,-3.84,1
1.24,-3.84,1
3.46,-2.09,1
3.37,-1.21,1
3.97,1.69,1
-2.23,3.15,1
-1.14,3.87,1
4.49,-0.06,1
-2.65,-2.54,1
-0.5,3.66,1
3.64,2.32,1
3.77,1.99,1
1.35,3.26,1
-0.33,4.15,1
-3.87,-1.97,1
-3.76,-0.88,1
3.54,-1.41,1
0.97,-3.69,1
2.68,2.53,1
0.34,-3.83,1
